album,artist name,track name,min_played
Closer,The Chainsmokers,Closer,975
lovely (with Khalid),Billie Eilish,lovely (with Khalid),2252
Volví,Aventura,Volví,76522
Life On Earth - EP,Summer Walker,White Tee (with NO1-NOAH),211373
Life On Earth - EP,Summer Walker,White Tee (with NO1-NOAH),44425
Cuarentena,Eladio Carrion,Cuarentena,98991
Cuarentena,Eladio Carrion,Cuarentena,448
Cuarentena,Eladio Carrion,Cuarentena,131333
Cuarentena,Eladio Carrion,Cuarentena,29660
Life On Earth - EP,Summer Walker,White Tee (with NO1-NOAH),4778
Primer Dia de Clases,Mora,Tuyo,283477
Cuarentena,Eladio Carrion,Cuarentena,56854
DUMMY BOY,6ix9ine,FEFE,94506
"Or Nah (feat. The Weeknd, Wiz Khalifa & DJ Mustard) [Remix]",Ty Dolla $ign,"Or Nah (feat. The Weeknd, Wiz Khalifa & DJ Mustard) - Remix",235200
Tusa,KAROL G,Tusa,166293
Beauty Behind The Madness,The Weeknd,Earned It (Fifty Shades Of Grey),3776
Beauty Behind The Madness,The Weeknd,Earned It (Fifty Shades Of Grey),3200
Beauty Behind The Madness,The Weeknd,Earned It (Fifty Shades Of Grey),92480
"Musas (Un Homenaje al Folclore Latinoamericano en Manos de Los Macorinos, Vol. 1)",Natalia Lafourcade,Soledad y el Mar (feat. Los Macorinos),24512
"Musas (Un Homenaje al Folclore Latinoamericano en Manos de Los Macorinos), Vol. 2",Natalia Lafourcade,La Llorona (feat. Los Macorinos),0
"Musas (Un Homenaje al Folclore Latinoamericano en Manos de Los Macorinos), Vol. 2",Natalia Lafourcade,La Llorona (feat. Los Macorinos),349674
Yonaguni,Bad Bunny,Yonaguni,113731
Primer Dia de Clases,Mora,Tuyo,269714
Primer Dia de Clases,Mora,Tuyo,43001
SINO,Café Tacvba,Quiero Ver,1429
SINO,Café Tacvba,Quiero Ver,197823
AM,Arctic Monkeys,R U Mine?,2784
SINO,Café Tacvba,Quiero Ver,205573
SINO,Café Tacvba,Quiero Ver,205573
SINO,Café Tacvba,Quiero Ver,203391
SINO,Café Tacvba,Quiero Ver,7338
